Buy 539 GOOGL	FILL	539	-$88,072.60	Oct 08, 2024, 10:13:24 AM
Buy 643 GOOGL	FILL	643	-$105,072.63	Oct 08, 2024, 10:13:24 AM
Sell 1205 GOOGL	FILL	1,205	+$197,270.55	Oct 08, 2024, 09:58:26 AM
Buy 83 GOOGL	FILL	83	-$13,597.06	Oct 08, 2024, 09:57:34 AM
Buy 58 GOOGL	FILL	58	-$9,501.56	Oct 08, 2024, 09:57:34 AM
Buy 1064 GOOGL	FILL	1,064	-$174,304.48	Oct 08, 2024, 09:57:33 AM
Sell 922 GOOGL	FILL	922	+$150,885.30	Oct 08, 2024, 09:54:36 AM
Sell 283 GOOGL	FILL	283	+$46,312.95	Oct 08, 2024, 09:54:35 AM
Buy 1205 GOOGL	FILL	1,205	-$197,053.65	Oct 08, 2024, 09:53:26 AM
Sell 19 GOOGL	FILL	19	+$3,106.88	Oct 08, 2024, 09:46:06 AM
Sell 11 GOOGL	FILL	11	+$1,798.72	Oct 08, 2024, 09:46:05 AM
Sell 340 GOOGL	FILL	340	+$55,593.40	Oct 08, 2024, 09:46:05 AM
Sell 488 GOOGL	FILL	488	+$79,792.88	Oct 08, 2024, 09:46:05 AM
Sell 347 GOOGL	FILL	347	+$56,744.91	Oct 08, 2024, 09:46:04 AM
Buy 1205 GOOGL	FILL	1,205	-$197,065.70	Oct 08, 2024, 09:45:37 AM
Sell 784 GOOGL	FILL	784	+$128,191.84	Oct 08, 2024, 09:42:28 AM
Sell 2 GOOGL	FILL	2	+$327.02	Oct 08, 2024, 09:42:28 AM
Sell 420 GOOGL	FILL	420	+$68,674.20	Oct 08, 2024, 09:42:27 AM
Buy 1206 GOOGL	FILL	1,206	-$197,205.12	Oct 08, 2024, 09:42:18 AM
Sell 1206 GOOGL	FILL	1,206	+$197,229.24	Oct 08, 2024, 09:30:52 AM
Buy 1206 GOOGL	FILL	1,206	-$197,265.42	Oct 08, 2024, 09:30:46 AM
Sell 114 GOOGL	FILL	114	+$18,634.44	Oct 08, 2024, 09:30:07 AM
Sell 40 GOOGL	FILL	40	+$6,538.40	Oct 08, 2024, 09:30:06 AM
Sell 1053 GOOGL	FILL	1,053	+$172,123.38	Oct 08, 2024, 09:30:06 AM
Buy 862 GOOGL	FILL	862	-$140,911.14	Oct 08, 2024, 09:29:58 AM
Buy 345 GOOGL	FILL	345	-$56,397.15	Oct 08, 2024, 09:29:58 AM
Sell 653 GOOGL	FILL	653	+$107,144.24	Oct 08, 2024, 09:00:00 AM
Sell 549 GOOGL	FILL	549	+$90,090.90	Oct 08, 2024, 09:00:00 AM
Buy 560 GOOGL	FILL	560	-$91,873.60	Oct 08, 2024, 08:58:43 AM
Buy 340 GOOGL	FILL	340	-$55,780.40	Oct 08, 2024, 08:58:43 AM
Buy 302 GOOGL	FILL	302	-$49,546.12	Oct 08, 2024, 08:58:43 AM
Sell 811 GOOGL	FILL	811	+$133,117.54	Oct 08, 2024, 08:21:31 AM
Sell 390 GOOGL	FILL	390	+$64,014.60	Oct 08, 2024, 08:21:31 AM
Buy 1132 GOOGL	FILL	1,132	-$185,727.24	Oct 08, 2024, 08:20:41 AM
Buy 69 GOOGL	FILL	69	-$11,320.83	Oct 08, 2024, 08:20:41 AM
Sell 318 GOOGL	FILL	318	+$52,244.22	Oct 08, 2024, 07:52:11 AM
Sell 519 GOOGL	FILL	519	+$85,266.51	Oct 08, 2024, 07:52:11 AM
Sell 365 GOOGL	FILL	365	+$59,965.85	Oct 08, 2024, 07:52:11 AM
Buy 81 GOOGL	FILL	81	-$13,335.84	Oct 08, 2024, 07:47:01 AM
Buy 4 GOOGL	FILL	4	-$658.56	Oct 08, 2024, 07:47:01 AM
Buy 1117 GOOGL	FILL	1,117	-$183,902.88	Oct 08, 2024, 07:47:00 AM
Sell 1202 GOOGL	FILL	1,202	+$197,873.24	Oct 08, 2024, 07:43:28 AM
Buy 1202 GOOGL	FILL	1,202	-$197,777.08	Oct 08, 2024, 07:43:17 AM
Sell 47 GOOGL	FILL	47	+$7,724.92	Oct 08, 2024, 07:42:54 AM
Sell 30 GOOGL	FILL	30	+$4,931.10	Oct 08, 2024, 07:42:53 AM
Sell 89 GOOGL	FILL	89	+$14,628.04	Oct 08, 2024, 07:42:53 AM
Sell 117 GOOGL	FILL	117	+$19,232.46	Oct 08, 2024, 07:42:53 AM
Sell 918 GOOGL	FILL	918	+$150,900.84	Oct 08, 2024, 07:42:53 AM
Buy 1 GOOGL	FILL	1	-$164.13	Oct 08, 2024, 07:42:11 AM
Buy 1 GOOGL	FILL	1	-$164.13	Oct 08, 2024, 07:42:11 AM
Buy 7 GOOGL	FILL	7	-$1,148.91	Oct 08, 2024, 07:42:11 AM
Buy 337 GOOGL	FILL	337	-$55,311.81	Oct 08, 2024, 07:42:11 AM
Buy 855 GOOGL	FILL	855	-$140,322.60	Oct 08, 2024, 07:42:11 AM
Sell 1202 GOOGL	FILL	1,202	+$197,236.18	Oct 08, 2024, 07:41:12 AM
Buy 315 GOOGL	FILL	315	-$51,697.80	Oct 08, 2024, 07:41:07 AM
Buy 145 GOOGL	FILL	145	-$23,797.40	Oct 08, 2024, 07:41:07 AM
Buy 72 GOOGL	FILL	72	-$11,816.64	Oct 08, 2024, 07:41:07 AM
Buy 670 GOOGL	FILL	670	-$109,960.40	Oct 08, 2024, 07:41:07 AM
Sell 1196 GOOGL	FILL	1,196	+$196,144.00	Oct 08, 2024, 07:40:01 AM
Sell 6 GOOGL	FILL	6	+$984.12	Oct 08, 2024, 07:40:01 AM
Buy 28 GOOGL	FILL	28	-$4,591.72	Oct 08, 2024, 07:38:29 AM
Buy 9 GOOGL	FILL	9	-$1,475.91	Oct 08, 2024, 07:38:29 AM
Buy 227 GOOGL	FILL	227	-$37,225.73	Oct 08, 2024, 07:38:29 AM
Buy 91 GOOGL	FILL	91	-$14,923.09	Oct 08, 2024, 07:38:28 AM
Buy 211 GOOGL	FILL	211	-$34,601.89	Oct 08, 2024, 07:38:28 AM
Buy 14 GOOGL	FILL	14	-$2,295.86	Oct 08, 2024, 07:38:28 AM
Buy 622 GOOGL	FILL	622	-$102,001.78	Oct 08, 2024, 07:38:28 AM
Sell 9 GOOGL	FILL	9	+$1,476.81	Oct 08, 2024, 07:35:54 AM
Sell 1194 GOOGL	FILL	1,194	+$195,923.46	Oct 08, 2024, 07:35:54 AM
Buy 93 GOOGL	FILL	93	-$15,267.81	Oct 08, 2024, 07:35:42 AM
Buy 29 GOOGL	FILL	29	-$4,760.93	Oct 08, 2024, 07:35:41 AM
Buy 116 GOOGL	FILL	116	-$19,046.04	Oct 08, 2024, 07:35:41 AM
Buy 201 GOOGL	FILL	201	-$33,002.19	Oct 08, 2024, 07:35:41 AM
Buy 764 GOOGL	FILL	764	-$125,441.16	Oct 08, 2024, 07:35:41 AM
Sell 1202 GOOGL	FILL	1,202	+$197,272.24	Oct 08, 2024, 07:34:54 AM
Buy 1202 GOOGL	FILL	1,202	-$197,164.06	Oct 08, 2024, 07:34:21 AM
Sell 6 GOOGL	FILL	6	+$984.06	Oct 08, 2024, 07:34:05 AM
Sell 34 GOOGL	FILL	34	+$5,576.34	Oct 08, 2024, 07:34:04 AM
Sell 79 GOOGL	FILL	79	+$12,956.79	Oct 08, 2024, 07:34:04 AM
Sell 429 GOOGL	FILL	429	+$70,360.29	Oct 08, 2024, 07:34:04 AM
Sell 655 GOOGL	FILL	655	+$107,426.55	Oct 08, 2024, 07:34:04 AM
Buy 1203 GOOGL	FILL	1,203	-$197,304.03	Oct 08, 2024, 07:33:43 AM
Sell 72 GOOGL	FILL	72	+$11,804.40	Oct 08, 2024, 07:33:19 AM
Sell 101 GOOGL	FILL	101	+$16,558.95	Oct 08, 2024, 07:33:18 AM
Sell 67 GOOGL	FILL	67	+$10,984.65	Oct 08, 2024, 07:33:18 AM
Sell 962 GOOGL	FILL	962	+$157,739.14	Oct 08, 2024, 07:33:18 AM
Buy 252 GOOGL	FILL	252	-$41,302.80	Oct 08, 2024, 07:31:51 AM
Buy 950 GOOGL	FILL	950	-$155,705.00	Oct 08, 2024, 07:31:51 AM
Sell 1203 GOOGL	FILL	1,203	+$197,159.67	Oct 08, 2024, 07:31:46 AM
Buy 517 GOOGL	FILL	517	-$84,751.81	Oct 08, 2024, 07:31:41 AM
Buy 686 GOOGL	FILL	686	-$112,449.12	Oct 08, 2024, 07:31:40 AM
Sell 408 GOOGL	FILL	408	+$66,850.80	Oct 08, 2024, 07:31:32 AM
Sell 796 GOOGL	FILL	796	+$130,424.60	Oct 08, 2024, 07:31:32 AM
Buy 17 GOOGL	FILL	17	-$2,785.62	Oct 08, 2024, 07:31:22 AM
Buy 323 GOOGL	FILL	323	-$52,926.78	Oct 08, 2024, 07:31:21 AM
Buy 24 GOOGL	FILL	24	-$3,932.88	Oct 08, 2024, 07:31:21 AM
Buy 840 GOOGL	FILL	840	-$137,650.80	Oct 08, 2024, 07:31:21 AM
Sell 151 GOOGL	FILL	151	+$24,747.39	Oct 08, 2024, 07:30:39 AM
Sell 16 GOOGL	FILL	16	+$2,622.24	Oct 08, 2024, 07:30:39 AM
Sell 1037 GOOGL	FILL	1,037	+$169,953.93	Oct 08, 2024, 07:30:39 AM
Buy 237 GOOGL	FILL	237	-$38,839.56	Oct 08, 2024, 07:30:25 AM
Buy 111 GOOGL	FILL	111	-$18,190.68	Oct 08, 2024, 07:30:24 AM
Buy 856 GOOGL	FILL	856	-$140,281.28	Oct 08, 2024, 07:30:24 AM
Sell 435 GOOGL	FILL	435	+$71,292.15	Oct 08, 2024, 07:30:13 AM
Sell 769 GOOGL	FILL	769	+$126,031.41	Oct 08, 2024, 07:30:13 AM
Buy 18 GOOGL	FILL	18	-$2,950.92	Oct 08, 2024, 07:30:03 AM
Buy 4 GOOGL	FILL	4	-$655.76	Oct 08, 2024, 07:30:03 AM
Buy 37 GOOGL	FILL	37	-$6,065.78	Oct 08, 2024, 07:30:03 AM
Buy 387 GOOGL	FILL	387	-$63,444.78	Oct 08, 2024, 07:30:02 AM
Buy 758 GOOGL	FILL	758	-$124,258.94	Oct 08, 2024, 07:30:02 AM
Sell 1204 GOOGL	FILL	1,204	+$197,456.00	Oct 08, 2024, 07:28:23 AM
Buy 1204 GOOGL	FILL	1,204	-$197,528.24	Oct 08, 2024, 07:27:57 AM
Sell 1 GOOGL	FILL	1	+$164.09	Oct 08, 2024, 07:27:01 AM
Sell 9 GOOGL	FILL	9	+$1,476.90	Oct 08, 2024, 07:27:01 AM
Sell 15 GOOGL	FILL	15	+$2,461.50	Oct 08, 2024, 07:27:01 AM
Sell 67 GOOGL	FILL	67	+$10,994.70	Oct 08, 2024, 07:27:01 AM
Sell 22 GOOGL	FILL	22	+$3,610.20	Oct 08, 2024, 07:27:01 AM
Sell 398 GOOGL	FILL	398	+$65,311.80	Oct 08, 2024, 07:27:00 AM
Sell 227 GOOGL	FILL	227	+$37,250.70	Oct 08, 2024, 07:27:00 AM
Sell 77 GOOGL	FILL	77	+$12,635.70	Oct 08, 2024, 07:27:00 AM
Sell 388 GOOGL	FILL	388	+$63,663.04	Oct 08, 2024, 07:27:00 AM
Buy 1204 GOOGL	FILL	1,204	-$197,588.44	Oct 08, 2024, 07:26:47 AM
Sell 20 GOOGL	FILL	20	+$3,281.00	Oct 08, 2024, 07:26:36 AM
Sell 30 GOOGL	FILL	30	+$4,921.50	Oct 08, 2024, 07:26:35 AM
Sell 62 GOOGL	FILL	62	+$10,171.10	Oct 08, 2024, 07:26:35 AM
Sell 609 GOOGL	FILL	609	+$99,906.45	Oct 08, 2024, 07:26:35 AM
Sell 483 GOOGL	FILL	483	+$79,236.15	Oct 08, 2024, 07:26:35 AM
Buy 635 GOOGL	FILL	635	-$104,159.05	Oct 08, 2024, 07:25:43 AM
Buy 78 GOOGL	FILL	78	-$12,794.34	Oct 08, 2024, 07:25:43 AM
Buy 21 GOOGL	FILL	21	-$3,444.63	Oct 08, 2024, 07:25:43 AM
Buy 470 GOOGL	FILL	470	-$77,094.10	Oct 08, 2024, 07:25:43 AM
Sell 16 GOOGL	FILL	16	+$2,624.80	Oct 08, 2024, 07:24:34 AM
Sell 37 GOOGL	FILL	37	+$6,069.85	Oct 08, 2024, 07:24:34 AM
Sell 10 GOOGL	FILL	10	+$1,640.50	Oct 08, 2024, 07:24:34 AM
Sell 233 GOOGL	FILL	233	+$38,223.65	Oct 08, 2024, 07:24:33 AM
Sell 908 GOOGL	FILL	908	+$148,957.40	Oct 08, 2024, 07:24:33 AM
Buy 1204 GOOGL	FILL	1,204	-$197,492.12	Oct 08, 2024, 07:23:45 AM
Sell 156 GOOGL	FILL	156	+$25,574.64	Oct 08, 2024, 07:23:11 AM
Sell 12 GOOGL	FILL	12	+$1,967.28	Oct 08, 2024, 07:23:11 AM
Sell 1037 GOOGL	FILL	1,037	+$170,016.15	Oct 08, 2024, 07:23:11 AM
